publication_title,title_id,Aim
advanced robotics,tadr20,"advanced robotics (ar) is the international journal of the robotics society of japan and has a history of more than thirty three years. it is an interdisciplinary journal which integrates publication of all aspects of research on robotics science and technology. advanced robotics publishes original research papers and survey papers from all over the world. issues contain papers on analysis, theory, design, development, implementation and use of robots and robot technology. the journal covers both fundamental robotics and robotics related to applied fields such as service robotics, field robotics, medical robotics, rescue robotics, space robotics, underwater robotics, agriculture robotics, industrial robotics, and robots in emerging fields. it also covers aspects of social and managerial analysis and policy regarding robots.
  advanced robotics (ar) is an international, ranked, peer-reviewed journal which publishes original research contributions to scientific knowledge.
all manuscript submissions are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees.
peer review policy
all peer review is single blind and submission is online via scholarone manuscripts.  
  star
taylor and francis are committed to the widest possible dissemination of its journals to non-profit institutions in
developing countries. our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals. for more information, please visit the star website .

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
advances in building energy research,taer20,"advances in building energy research (aber) aims to provide expert and authoritative reviews and analyses of the most important developments across the rapidly expanding fields of energy efficiency and environmental performance of buildings. it also provides a unique forum by bringing together invited contributions from the foremost international experts, to examine new technologies and methodologies with the latest research on systems, simulations and standards.
published bi-annually and peer-reviewed, aber delivers an invaluable resource for architects, building engineers, environmental engineers, industry professionals, students, teachers and researchers in building science.
topics covered by aber include:
• invaluable thermal comfort in the built environment
• advanced materials to improve energy efficiency of buildings
• indoor air quality
• energy efficient lighting and daylight
• visual comfort in the built environment
• thermal and air flow studies in the urban environment
• passive solar heating of buildings and passive cooling in buildings
• energy efficient hvac systems for buildings
• urban energy systems
• design and retrofitting of energy efficient buildings
• use of renewable energies in the built environment
• natural , mechanical and hybrid ventilation
• monitoring and measurement techniques in buildings
• energy rating and classification of buildings
• intelligent control of buildings
• building physics
• environmental impact and sustainability in the building sector
• legislative and educational aspects for energy efficient buildings
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, will undertake peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
advances in materials and processing technologies,tmpt20,"the journal covers advancement in materials and processes used to manufacture components and parts. articles accepted for publication will report recent improvements in the properties of materials and development of recent technologies to manufacture components. the journal will also cover new developments in processing and fabrication technologies of materials of various types including modelling, simulations, and experimental work. equally, articles reporting innovation in manufacturing processes that reduce waste, enhance component performance, and ensure environmental sustainability will also be considered.
specifically, the journal will be interested in receiving manuscript contributions in the following areas:
effects of processing parameters on the macro- and micro-properties of all engineering materials.
innovations/ improvements in processing techniques of all types of engineering materials including sustainability.
the topics of articles may be in one or more of the following areas:
metallic materials and their alloys; composite materials; non-metallic materials; bio-compatible materials; sensor materials.
manufacturing processes such as forming; machining; joining; welding; laser processing; plasma processing; micro- and nano- processing; quality and reliability issues of products and their applications.
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and papers should be submitted to saleem.hashmi@dcu.ie.


peer review policy
all submitted manuscripts are subject to initial appraisal by the editor. if found suitable for further consideration, papers are subject to peer review by independent, anonymous expect referees. all peer-review is single blind and submissions can be submitted online via https://www.editorialmanager.com/mst

publishing ethics
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of committee of publications ethics (cope) and utilises crosscheck for all journals. more information on our ethical standards and policies can be found here: http://authorservices.taylorandfrancis.com/ethics-for-authors/   
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
aerosol science and technology,uast20,"aerosol science and technology publishes theoretical, numerical and experimental investigations papers that advance knowledge of aerosols and facilitate its application. articles on either basic or applied work are suitable. examples of topics include instrumentation for the measurement of aerosol physical, optical, chemical and biological properties; aerosol dynamics and transport phenomena; numerical modeling; charging; nucleation; nanoparticles and nanotechnology; lung deposition and health effects; filtration; and aerosol generation.
  consistent with the criteria given above, papers that deal with the atmosphere, climate change, indoor and workplace environments, homeland security, pharmaceutical aerosols, combustion sources, aerosol synthesis reactors, and contamination control in semiconductor manufacturing will be considered. ast normally does not consider papers that describe routine measurements or models for aerosol air quality assessment.
  all submitted manuscripts are subject to initial evaluation by the editor and, if found suitable for further consideration, to peer review by independent, anonymous expert reviewers. all peer review is single blind. submissions are made online via scholarone manuscripts. 
publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
the journal's readership includes physicists, chemical engineers, electrical engineers, environmental scientists, mechanical engineers, mining engineers, nuclear engineers, and those involved in occupation safety and hygiene.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
architectural engineering and design management,taem20,"  informative and accessible, this publication analyses and discusses the integration of the main stages within the process of design and construction and multidisciplinary collaborative working between the different professionals involved.
 
ideal for practitioners and academics alike, architectural engineering and design management examines specific topics, including:
• integrated design
• design management
• post occupancy and facilities management
• lean design and construction
• building information modelling
• sustainability and resilience of the built environment
 manuscripts that sit at the interfaces between these topics are particularly encouraged. this includes manuscripts that address:
• the integration of architecture, technology
• the integration between innovative building design and technology, or innovative design, technology, and people (engagement, management etc)
• building design process and management; planning and co-ordination, information and knowledge management, value engineering and value management
• design and client led process improvement (e.g. co-creation)
• extended life-cycle managerial views. interfaces between design management and coordination, and facilities management
• digitalization and digital transformation in design management and architectural engineering (bim, iot, big data and machine learning)
• parametrization of aec design tools to support decision making
• integration of resilience with sustainability
• use of innovative materials to improve building design implementation, building innovation and life cycle processes
• building thermal, aural, visual and structural performance especially pertaining to design decision making
• interfaces between advanced and resilient structures, services and other building-level infrastructures
• built environment resource efficiency and response to climate change
 
this journal is a valuable resource for professionals and academics (teachers, researchers and students) involved in building design and construction, including the following disciplines:
• architecture
• building engineering
• building service engineering
published papers will report on both fundamental research dealing with theoretical work and applied research dealing with practical issues and industrial innovations. in this way, readers benefit from exploring the interaction between technical considerations and management issues.
 
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, will undertake peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
architectural science review,tasr20,"founded at the university of sydney in 1958 by professor henry cowan to promote continued professional development, architectural science review presents a balanced collection of papers on a wide range of topics. from its first issue over 50 years ago the journal documents the profession’s interest in environmental issues, covering topics such as thermal comfort, lighting, and sustainable architecture, contributing to this extensive field of knowledge by seeking papers from a broad geographical area.
the journal is supported by an international editorial advisory board of the leading international academics and its reputation has increased globally with individual and institutional subscribers and contributors from around the world. as a result, architectural science review continues to be recognised as not only one of the first, but the leading journal devoted to architectural science, technology and the built environment.
architectural science review publishes original research papers, shorter research notes, and abstracts of phd dissertations and theses in all areas of architectural science including:
building science and technology
environmental sustainability
structures and materials
audio and acoustics
illumination
thermal systems
building physics
building services
building climatology
building economics
ergonomics
history and theory of architectural science
the social sciences of architecture
all research papers, research notes and review articles are double-blind refereed by a distinguished international editorial advisory board and other experts in the field. asr also publishes occasional refereed special issues, invited review papers and editorials, and extensive book reviews.
asr is listed in eirh plus, the european reference index for the humanities and social sciences.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
assistive technology,uaty20,"assistive technology is an applied, scientific publication in the multi-disciplinary field of technology for people with disabilities. the journal's purpose is to foster communication among individuals working in all aspects of the assistive technology arena including researchers, developers, clinicians, educators and consumers. the journal will consider papers from all assistive technology applications. only original papers will be accepted. technical notes describing preliminary techniques, procedures, or findings of original scientific research may also be submitted. letters to the editor are welcome. books for review may be sent to authors or publisher. all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts. assistive technology accepts the following types of article: original articles.
please note that this journal only publishes manuscripts in english.
authors can choose to publish gold open access in this journal.
  read the instructions for authors for information on how to submit your article."
australasian journal of engineering education,teen20,"the australasian journal of engineering education (ajee) is published under the auspices of the australasian association for engineering education (aaee), a technical society of engineers australia. the ajee publishes research to inform high quality engineering education in australasia and internationally.
papers in the ajee report research that makes an original contribution to knowledge and can be used to improve engineering education by informing practice, policy, and/or research.  
fields of interest include the following:
1.     engineering education throughout the lifespan including: kindergarten, primary, secondary and tertiary education, and learning throughout the career
2.     education for engineering team members including: engineering associates, engineering technologists, professional engineers, engineering managers and executives, and people contributing to society using engineering knowledge and skills
3.     understanding engineering practice to inform curriculum development.
contributions must be relevant to readers in australasia and/or internationally. studies that are relevant only to readers in a region outside australasia would not be considered for publication.
ajee is published online and in print. papers can be accessed online as soon as the review and production processes are completed.
publication categories:
papers accepted for publication have been peer reviewed by at least two independent reviewers. the review process is single-anonymised. reviewers are not identified to the authors. authors are identified to the reviewers.
the journal publishes original empirical research including reviews of literature/studies that use a systematic methodology. the journal invites papers from all empirical traditions (quantitative, qualitative, interpretive, mixed, review, critical).
letters to the editor are accepted at the editor's discretion.
submitted papers should not normally exceed 6,000 words. however, acceptable contributions range from 5,000 to 7,000 words including the abstract and references. letters to the editor should not exceed 1,500 words.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australasian journal of water resources,twar20,"the australasian journal of water resources ( ajwr) is a multi-disciplinary regional journal dedicated to scholarship, professional practice and discussion on water resources planning, management and policy. its primary geographic focus is on australia, new zealand and the pacific islands. papers from outside this region will also be welcomed if they contribute to an understanding of water resources issues in the region. such contributions could be due to innovations applicable to the australasian water community, or where clear linkages between studies in other parts of the world are linked to important issues or water planning, management, development and policy challenges in australasia. these could include papers on global issues where australasian impacts are clearly identified.
the journal will consider original, innovative and interesting scholarship, practice case examples and reviews on topics that are relevant to a multi-disciplinary and professional audience (e.g. water policy-makers, managers, planners, scientists, engineering consultants, ngos and interested community members). papers can focus on topics including, but not limited to, the following areas:
water resources management
hydrology (surface water, groundwater, floods, droughts)
water planning
water policy, regulation and governance
hydraulics (including issues of erosion and sediment transport)
water development
water quality, pollution and treatment technologies
monitoring, remediation and protection of water resources
water systems (distribution and drainage networks, rivers, catchments, urban systems, wetlands, aquatic ecosystems, hydrogeology, aquaponics)
climate variability and change (including hydro-climatology, water-related extreme events)
water-related engineering and planning practice
cultural aspects of water (including indigenous knowledge and management practices)
water use behaviours and consumption practices (including water re-use and export)
water-related development studies, sociology, anthropology and politics
history, arts and philosophy of water and its management
water law
water economics
psychology and decision-making processes in water management
water nexus issues (e.g. with energy, food, soil, health, resources and environmental systems)
water sensitive design
issues of environmental water (including environmental flows and eco-hydrology)
  papers submitted for publication in ajwr will first be screened by the editorial panel for quality and relevance. papers passing this initial screening will then be submitted for independent peer review by at least two reviewers with relevant expertise. editors will endeavour to ensure a timely turnaround of papers in review. accepted papers will be published on the website with a doi as soon as they have passed through the production process. this ensures timely publication before the articles are grouped and published in the printed journal issues.
category of publication
the ajwr editorial policy distinguishes between the following categories of publications:
fully refereed papers (preferred)
formal professional and scientific papers - reporting on research, development of new methods or innovative applications of existing methods
review papers - on topics of significant current interest
policy perspectives - on topical areas of public policy and decision-making
technical notes - providing practical guidance on water management and technological applications and processes
  other articles and communications (occasional)
conference papers - reprinted keynote papers or orations and refereed invited conference papers from engineers australia and affiliated groups' sponsored conferences
position papers and editorials - prepared by members of the editorial panel of the australasian journal of water resources, the national committee on water engineering (engineers australia), ipenz and affiliated groups
discussion papers - exposing issues for feedback by the profession
practice notes - updates to current guidelines (after completed peer review)
discussions of published papers
occasional communications - notices of general interest to the australasian water community.
  this journal is typeset by scientific publishing services (p) ltd., chennai, india. printed and bound by markono print media pte ltd., singapore.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
australian journal of civil engineering,tcen20,"the editorial policy of engineers australia’s civil engineering college seeks to widen the usefulness of the australian journal of civil engineering (ajce) by encouraging the publication of a greater variety of contributions to the science and practice of civil engineering.
contributions of original papers on research, development and professional achievements in all areas of civil engineering are encouraged. areas catered for in this journal include transportation; construction; water engineering; coastal and oceans; ports and harbours; geotechnical engineering; tunnelling; mining engineering; infrastructure and building; management and leadership; risk and reliability; planning and policy; heritage sustainability; and life cycle asset management.
the expected length of acceptable contributions will vary considerably, but 4000 to 5000 word equivalents should be the norm. occasionally, shorter contributions of about 1000 words may be appropriate for publication as a technical note.
authors are also invited to submit discussions on a technical paper or note published in the ajce. discussion of a technical paper/note is open to anyone who has significant comments or questions regarding its content. all discussions are to be in third person, with the discusser being referred to as “the writer” and the author of the original paper as “the author”.
the fundamental criteria of acceptance for all types of papers will be the intellectual and professional worth of the contribution.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
