paper_title,keywords,journal_name
soft robot arm inspired by the octopus,octopus muscular hydrostats shape memory alloy soft robot,advanced robotics
anymal - toward legged robots for harsh environments,legged robot quadruped robot field robotics series elastic actuation autonomous navigation,advanced robotics
deep learning in robotics: a review of recent research,deep neural networks artificial intelligence human–robot interaction,advanced robotics
human–robot interaction in industrial collaborative robotics: a literature review of the decade 2008–2017,human–robot interaction industrial collaborative robotics literature review 2008–2017,advanced robotics
imitation learning of positional and force skills demonstrated via kinesthetic teaching and haptic input,imitation learning kinesthetic teaching programming by demonstration physical human-robot interaction haptics,advanced robotics
gravity compensation in robotics,gravity compensation static balancing actuator power effort minimization robot design,advanced robotics
"software toolkit for modeling, simulation, and control of soft robots",soft robot simulation finite element method kinematics dynamics inverse models 3d,advanced robotics
online walking motion generation with automatic footstep placement,walking humanoid robot linear model predictive control,advanced robotics
gas source localization with a micro-drone using bio-inspired and particle filter-based algorithms,autonomous micro uav chemical and wind sensing gas source localization particle filter,advanced robotics
biomimetic tactile sensor array,biomimetic electrode impedance pressure sensor haptics tactile sensor,advanced robotics
dynamic analysis and intelligent control techniques for flexible manipulators: a review,flexible manipulator dynamic analysis intelligent control,advanced robotics
power assist method based on phase sequence and muscle force condition for hal,hal exoskeleton power assist phase sequence myoelectricity signal,advanced robotics
sit-to-stand and stand-to-sit transfer support for complete paraplegic patients with robot suit hal,robot suit complete paraplegic patients sit-to-stand stand-to-sit motion support,advanced robotics
model learning with local gaussian process regression,robotics inverse dynamics model-based control machine learning nonparametric regression,advanced robotics
new materials and advances in making electronic skin for interactive robots,electronic skin novel materials tactile sensing robotics,advanced robotics
grasp and dexterous manipulation of multi-fingered robotic hands: a review from a control view point,multi-fingered robotic hands manipulation and control,advanced robotics
inevitable collision states — a step towards safer robots?,safety navigation motion planning sensing constraints collision avoidance,advanced robotics
depth vision guided hand gesture recognition using electromyographic signals,depth vision hand gesture recognition clustering classification electromyographic signals,advanced robotics
recent progress in tactile sensing and sensors for robotic manipulation: can we turn tactile sensing into vision?1,tactile sensor tactile behavior robotic manipulation robotic hand,advanced robotics
"realizing whole-body tactile interactions with a self-organizing, multi-modal artificial skin on a humanoid robot",artificial skin self-organization whole-body tactile interaction humanoid robots,advanced robotics
symbol emergence in robotics: a survey,developmental robotics language acquisition semiotics symbol emergence symbol grounding,advanced robotics
miniature pneumatic curling rubber actuator generating bidirectional motion with one air-supply tube,soft actuator pneumatic actuator bidirectional motion nonlinear analysis,advanced robotics
design of an electrically actuated lower extremity exoskeleton,exoskeleton robotics biomechanics electric motor actuation,advanced robotics
closed-form inverse kinematics for continuum manipulators,inverse kinematics continuum robot,advanced robotics
parameterized and scripted gaits for modular snake robots,locomotion hyper-redundant mechanism snake robot gait design motion planning,advanced robotics
design and implementation of robot audition system 'hark' — open source software for listening to three simultaneous speakers,robot audition open source software sound source localization sound source separation automatic speech recognition,advanced robotics
safe and compliant guidance by a powered knee exoskeleton for robot-assisted rehabilitation of gait,robot-assisted gait rehabilitation physical human-robot interaction powered knee exoskeleton pneumatic muscles proxy-based sliding mode control,advanced robotics
a gaussian process-based rrt planner for the exploration of an unknown and cluttered environment with a uav,gaussian processes information-theoretic exploration map building rapidly-exploring random tree unmanned aerial vehicle,advanced robotics
improving monocular visual slam in dynamic environments: an optical-flow-based approach,visual slam optical flow dynamic environments,advanced robotics
kinematic analysis of a translational 3-d.o.f. micro-parallel mechanism using the matrix method,matrix method micro-manipulator flexure mechanism flexure hinge parallel mechanism,advanced robotics
heat island research in europe: the state of the art,heat island energy in buildings urban environment,advances in building energy research
field studies of indoor thermal comfort and the progress of the adaptive approach,thermal comfort field studies climate meta-analysis adaptive approach standards,advances in building energy research
performance study of building integrated photovoltaic modules,bipv bapv solar façade pv cell coverage ratio,advances in building energy research
post-occupancy evaluation: an inevitable step toward sustainability,appropriate design indoor air indoor environment monitoring post-occupancy evaluation survey sustainability thermal performance user satisfaction walk-through,advances in building energy research
decision support methodologies on the energy efficiency and energy management in buildings,energy efficiency indoor environment multi-criteria decision analysis multi-objective decision support energy management systems,advances in building energy research
evolution of cool-roof standards in the us,cool roofs solar reflectance thermal emittance solar reflectance index building energy efficiency standards ashrae 90.1 ashrae 90.2 california title 24 international energy conservation code (iecc) leadership in energy and environmental design (leed) energy star florida building code (fbc) revised ordinances of honololu (roh) city of chicago energy conservation code,advances in building energy research
artificial intelligence for energy conservation in buildings,artificial intelligence building energy management systems computational intelligence energy conservation fuzzy systems grey predictor intelligent agents multi-agent systems,advances in building energy research
zero-energy buildings: the challenges,design process zero-energy buildings load matching,advances in building energy research
urban heat island and its impact on building energy consumption,urban heat island temperature energy cool surfaces vegetation,advances in building energy research
microclimate and building energy consumption: study of different coupling methods,heating demand comfort urban microclimate solene cfd building energy simulation,advances in building energy research
energy management in solar microgrid via reinforcement learning using fuzzy reward,reinforcement learning q-learning microgrid energy management fuzzy reward,advances in building energy research
thermal discomfort and health: protecting the susceptible from excess cold and excess heat in housing,thermal discomfort health housing low temperature high temperature,advances in building energy research
improving thermal properties of exterior plastering mortars with phase change materials with different melting temperatures: paraffin and polyethylene glycol,phase change material plastering mortar paraffin polyethylene glycol thermal properties,advances in building energy research
application of passive measures for energy conservation in buildings – a review,buildings passive measures refurbishment energy conservation building envelop efficiency review,advances in building energy research
"review on methodologies for energy benchmarking, rating and classification of buildings",energy benchmarking energy boundaries energy classification energy rating,advances in building energy research
the application of urban climate research in the design of cities,urban microclimate urban planning architectural design,advances in building energy research
recent progress on net zero energy buildings,building design energy-efficient building net-zero energy building sustainable building zero carbon building,advances in building energy research
user evaluations of energy efficient buildings: literature review and further research,energy-efficient buildings passive houses poe user evaluations,advances in building energy research
"empirical assessment of indoor air quality and overheating in low-carbon social housing dwellings in england, uk",low-carbon houses overheating indoor air quality social housing unintended consequences,advances in building energy research
active cool roof effect: impact of cool roofs on cooling system efficiency,cool roof energy saving in buildings active cool roof effect roof albedo passive cooling office building energy efficiency,advances in building energy research
energy flexibility of domestic thermal loads – a building typology approach of the residential building stock in austria,energy flexible buildings energy efficient architecture demand-side management load control demand response residential building typology thermal mass,advances in building energy research
energy conservation techniques for hospital buildings,energy saving hospital sustainable building,advances in building energy research
green roofs in buildings: thermal and environmental behaviour,green roof green technology urban vegetation,advances in building energy research
short-term storage systems of thermal energy for buildings: a review,building energy storage low–medium temperature short term,advances in building energy research
optimal interior design for naturally ventilated low-income housing: a design-route for environmental quality and cooling energy saving,interior design computational fluid dynamics energy saving natural ventilation low-income housing,advances in building energy research
high dynamic range imaging and its application in building research,high dynamic range luminance digital camera glare,advances in building energy research
experimental investigation of free cooling using phase change material-filled air heat exchanger for energy efficiency in buildings,latent heat thermal energy storage phase change materials free cooling green buildings modular heat exchanger,advances in building energy research
simulation studies on small rural residential houses using sustainable building materials for thermal comfort – case comparison,thermal comfort building energy sustainable building design natural ventilation mud blocks burnt bricks cfd simulation thermal imaging,advances in building energy research
"thermal performance and structural cooling analysis of brick, cement block, and mud concrete block",walling materials thermal performance structural cooling thermal conductivity time lag and decrement,advances in building energy research
heating energy penalties of cool roofs: the effect of snow accumulation on roofs,cool roof heating and cooling energy use cold climate office building doe-2.1e,advances in building energy research
metallic implants with properties and latest production techniques: a review,metallic biomaterial mechanical properties tribology wear additive manufacturing,advances in materials and processing technologies
metal matrix composite: a methodological review,metal matrix composites three stage hybridisation functionally graded mmc investment casting silicon moulding,advances in materials and processing technologies
manufacturing techniques for metal matrix composites (mmc): an overview,mmcs ammcs mmmcs manufacturing methods friction stir,advances in materials and processing technologies
recent developments in friction stir welding and resulting industrial practices,friction stir welding variants of fsw auxiliary energy assisted fsw dissimilar material fsw modelling industrial application,advances in materials and processing technologies
evaluation and characterisation of ass316l at sub-zero temperature,ultimate tensile strength yield strength strain hardening exponent as316l mathematical model,advances in materials and processing technologies
microstructural and corrosion resistance study on plasma arc welded joints of aisi 304 and aisi 316,plasma ﻿arc ﻿welding tafel ﻿plot corrosion ﻿resistance,advances in materials and processing technologies
processing techniques of polymeric materials and their reinforced composites,primary recycling secondary recycling tertiary recycling quaternary recycling additive manufacturing,advances in materials and processing technologies
mechanical properties and morphology of aluminium metal matrix nanocomposites-stir cast products,amcs ball milling stir casting mechanical properties morphology xrd,advances in materials and processing technologies
polymer matrix composite with natural and synthetic fibres,natural fibre glass fibre hybrid composite polymer composite mechanical properties,advances in materials and processing technologies
prediction capability of anisotropic yielding behaviour for dp590 steel at elevated temperatures,dp 590 alloy flow stress yield criteria yield locus plastic anisotropy accuracy index,advances in materials and processing technologies
experimental and finite element studies of springback using split-ring test for inconel 625 alloy,inconel 625 deep drawing splitring test springback finite element analysis,advances in materials and processing technologies
experimental study on abrasive water jet machining of carbon epoxy composite,abrasive water jet machining carbon epoxy composite optimisation surface roughness delamination,advances in materials and processing technologies
forming behaviour of aluminium matrix nano al2o3 composites for automotive applications,forming aluminium matrix nano composites al2o3 nano particles wear resistance ultrasonic probe assisted stir casting hot forging heat treatment,advances in materials and processing technologies
microstructural evolution and mechanical properties of 316l stainless steel using multiaxial forging,316l stainless steel warm multiaxial forging grain refinement microstructure evolution fractography,advances in materials and processing technologies
multi performance characteristics optimization in cryogenic turning of 17-4 ph stainless steel using taguchi coupled grey relational analysis,taguchi coupled grey relational analysis cryogenic machining cutting forces tool wear surface roughness mrr 17-4 ph stainless steel multi objective optimization,advances in materials and processing technologies
structural and mechanical properties of microwave hybrid sintered aluminium silicon carbide composite,microwave hybrid sintering aluminium silicon carbide xrd sem,advances in materials and processing technologies
comparative study of ass 316l on formability at room temperature and super plastic region,austenitic stainless steel 316l elevated temperature forming limit diagram (fld) scanning electron microscope (sem) limiting dome height (ldh),advances in materials and processing technologies
correlation of meltpool characteristics and residual stresses at high laser intensity for metal lpbf process,additive manufacturing laser powder bed fusion (lpbf) residual stresses x-ray diffraction (xrd) meltpool stainless steel 316l,advances in materials and processing technologies
on technological solutions for repair and rehabilitation of heritage sites: a review,heritage structure 3d printing conventional restoration smart materials repair,advances in materials and processing technologies
effect of transverse speed on mechanical and microstructural properties of friction stir welded aluminium aa2024-t351,friction stir welding transverse speed aa2024-t351 micro-hardness impact strength,advances in materials and processing technologies
parametric study of laser cutting of carbon fibre reinforced polymer (cfrp) and the effect of fibre orientation on cutting quality,cfrp laser cutting kerf width heat affected zone fibre delamination matrix melting fibre consolidation.,advances in materials and processing technologies
an investigation on tube hydroforming process considering the effect of frictional coefficient and corner radius,tube ﻿hydroforming coefficient of friction die corner bulge height thinning distribution,advances in materials and processing technologies
investigating the impact of a selective laser melting process on ti6al4v alloy hybrid powders with spherical and irregular shapes,selective laser melting ti6al4v alloy flowability additive manufacturing hdh powder,advances in materials and processing technologies
reinforcement of titanium dioxide nanoparticles in aluminium alloy aa 5052 through friction stir process,friction stir processing aluminium matrix composite ceramic particles hardness microstructure,advances in materials and processing technologies
the effect of metal eos 316l stainless steel additive manufacturing powder recycling on part characteristics and powder reusability,additive manufacturing direct metal laser sintering powder bed fusion metal powder recycling powder characteristics,advances in materials and processing technologies
atig welding: a small step towards sustainable manufacturing,sustainable manufacturing energy consumption depth of penetration a-tig arc concentration,advances in materials and processing technologies
an experimental investigation on cutting performance of abrasive water jet machining of austenite steel (aisi 316l),abrasive water jet machining (awjm) austenite steel process parameters surface roughness,advances in materials and processing technologies
